Unnamed: 0,fromLibrary,toLibrary,fromGroupArtifact,toGroupArtifact,inDepSeq,dataConfirmed
2069,json-path,jackson,com.jayway.jsonpath:json-path,com.fasterxml.jackson.core:jackson-databind,176,False
2070,json-path,json-smart,com.jayway.restassured:json-path,net.minidev:json-smart,1,False
2071,json-path,json-lib,io.paradoxical:json-path,org.kohsuke.stapler:json-lib,0,False
2072,json-path,flexjson,com.jayway.restassured:json-path,org.hudsonci.tools:xstream,0,False
2073,json-path,xstream,io.paradoxical:json-path,com.thoughtworks.xstream:xstream,0,False
2074,json-path,gson,io.paradoxical:json-path,com.google.code.gson:gson,0,False
2075,json-path,xstream,com.jayway.restassured:json-path,com.thoughtworks.xstream:xstream,0,False
2076,json-path,jsonic,com.jayway.jsonpath:json-path,net.arnx:jsonic,0,False
2077,json-path,org.json,com.jayway.jsonpath:json-path,org.json:json,10,False
2078,json-path,xstream,com.jayway.jsonpath:json-path,com.thoughtworks.xstream:xstream,9,False
2079,json-path,json-simple,com.jayway.jsonpath:json-path,com.github.cliftonlabs:json-simple,0,False
2080,json-path,jackson,com.jayway.restassured:json-path,org.codehaus.jackson:jackson-core-asl,1,False
2081,json-path,jettison,com.jayway.restassured:json-path,org.codehaus.jettison:jettison,0,False
2082,json-path,flexjson,com.jayway.jsonpath:json-path,io.github.benas:xstream,0,False
2083,json-path,flexjson,io.paradoxical:json-path,org.sonatype.nexus.xstream:xstream,0,False
2084,json-path,jackson,com.jayway.jsonpath:json-path,org.codehaus.jackson:jackson-mapper-asl,15,False
2085,json-path,xstream,com.jayway.restassured:json-path,xstream:xstream,0,False
2086,json-path,json-lib,com.jayway.restassured:json-path,net.sf.json-lib:json-lib,0,False
2087,json-path,org.json,io.paradoxical:json-path,org.json:json,0,False
2088,json-path,jackson,io.paradoxical:json-path,com.fasterxml.jackson.core:jackson-databind,0,False
2089,json-path,jsonic,io.paradoxical:json-path,net.arnx:jsonic,0,False
2090,json-path,json-lib,com.jayway.jsonpath:json-path,net.sf.json-lib:json-lib,3,False
2091,json-path,fastjson,io.paradoxical:json-path,com.alibaba:fastjson,0,False
2092,json-path,flexjson,com.jayway.restassured:json-path,net.sf.flexjson:flexjson,0,False
2093,json-path,svenson,com.jayway.restassured:json-path,com.google.code.svenson:svenson,0,False
2094,json-path,jackson,io.paradoxical:json-path,com.fasterxml.jackson.core:jackson-core,0,False
2095,json-path,jettison,com.jayway.jsonpath:json-path,org.codehaus.jettison:jettison,7,False
2096,json-path,json-simple,io.paradoxical:json-path,com.googlecode.json-simple:json-simple,0,False
2097,json-path,gson,com.jayway.jsonpath:json-path,com.google.code.gson:gson,45,False
2098,json-path,jackson,com.jayway.restassured:json-path,org.codehaus.jackson:jackson-mapper-asl,1,False
2099,json-path,svenson,io.paradoxical:json-path,com.google.code.svenson:svenson,0,False
2100,json-path,gson,com.jayway.restassured:json-path,com.google.code.gson:gson,1,False
2101,json-path,json-simple,com.jayway.jsonpath:json-path,com.googlecode.json-simple:json-simple,15,False
2102,json-path,json-simple,io.paradoxical:json-path,com.github.cliftonlabs:json-simple,0,False
2103,json-path,flexjson,io.paradoxical:json-path,org.hudsonci.tools:xstream,0,False
2104,json-path,jackson,com.jayway.restassured:json-path,com.fasterxml.jackson.core:jackson-annotations,0,False
2105,json-path,xstream,io.paradoxical:json-path,xstream:xstream,0,False
2106,json-path,flexjson,com.jayway.jsonpath:json-path,org.sonatype.nexus.xstream:xstream,0,False
2107,json-path,json-simple,com.jayway.restassured:json-path,com.github.cliftonlabs:json-simple,0,False
2108,json-path,jackson,io.paradoxical:json-path,org.codehaus.jackson:jackson-mapper-asl,0,False
2109,json-path,xstream,com.jayway.jsonpath:json-path,xstream:xstream,0,False
2110,json-path,jackson,com.jayway.restassured:json-path,org.codehaus.jackson:jackson-xc,0,False
2111,json-path,json-smart,com.jayway.jsonpath:json-path,net.minidev:json-smart,2,False
2112,json-path,jackson,com.jayway.jsonpath:json-path,org.codehaus.jackson:jackson-xc,8,False
2113,json-path,jettison,io.paradoxical:json-path,org.codehaus.jettison:jettison,0,False
2114,json-path,json-lib,io.paradoxical:json-path,net.sf.json-lib:json-lib,0,False
2115,json-path,fastjson,com.jayway.jsonpath:json-path,com.alibaba:fastjson,7,False
2116,json-path,json-lib,io.paradoxical:json-path,com.hynnet:json-lib,0,False
2117,json-path,json-simple,com.jayway.restassured:json-path,com.googlecode.json-simple:json-simple,1,False
2118,json-path,json-lib,com.jayway.restassured:json-path,com.hynnet:json-lib,0,False
2119,json-path,org.json,com.jayway.restassured:json-path,org.json:json,0,False
2120,json-path,flexjson,com.jayway.jsonpath:json-path,org.hudsonci.tools:xstream,0,False
2121,json-path,flexjson,io.paradoxical:json-path,io.github.benas:xstream,0,False
2122,json-path,jackson,io.paradoxical:json-path,org.codehaus.jackson:jackson-core-asl,0,False
2123,json-path,json-lib,com.jayway.restassured:json-path,org.kohsuke.stapler:json-lib,0,False
2124,json-path,json-smart,io.paradoxical:json-path,net.minidev:json-smart,0,False
2125,json-path,flexjson,com.jayway.restassured:json-path,org.sonatype.nexus.xstream:xstream,0,False
2126,json-path,jackson,com.jayway.jsonpath:json-path,com.fasterxml.jackson.core:jackson-annotations,58,False
2127,json-path,flexjson,io.paradoxical:json-path,net.sf.flexjson:flexjson,0,False
2128,json-path,jackson,com.jayway.jsonpath:json-path,com.fasterxml.jackson.core:jackson-core,107,False
2129,json-path,flexjson,com.jayway.restassured:json-path,io.github.benas:xstream,0,False
2130,json-path,jackson,io.paradoxical:json-path,org.codehaus.jackson:jackson-xc,0,False
2131,json-path,jsonic,com.jayway.restassured:json-path,net.arnx:jsonic,0,False
2132,json-path,svenson,com.jayway.jsonpath:json-path,com.google.code.svenson:svenson,0,False
2133,json-path,jackson,com.jayway.restassured:json-path,com.fasterxml.jackson.core:jackson-databind,1,False
2134,json-path,jackson,io.paradoxical:json-path,com.fasterxml.jackson.core:jackson-annotations,0,False
2135,json-simple,json-lib,com.github.cliftonlabs:json-simple,com.hynnet:json-lib,0,False
2136,json-simple,json-lib,com.googlecode.json-simple:json-simple,net.sf.json-lib:json-lib,0,False
2137,json-simple,svenson,com.googlecode.json-simple:json-simple,com.google.code.svenson:svenson,0,False
2138,json-simple,org.json,com.github.cliftonlabs:json-simple,org.json:json,1,False
2139,json-simple,jackson,com.github.cliftonlabs:json-simple,com.fasterxml.jackson.core:jackson-databind,0,False
2140,json-simple,fastjson,com.googlecode.json-simple:json-simple,com.alibaba:fastjson,4,True
2141,json-simple,xstream,com.github.cliftonlabs:json-simple,xstream:xstream,0,False
2142,json-simple,json-lib,com.github.cliftonlabs:json-simple,net.sf.json-lib:json-lib,0,False
2143,json-simple,json-lib,com.github.cliftonlabs:json-simple,org.kohsuke.stapler:json-lib,0,False
2144,json-simple,json-path,com.github.cliftonlabs:json-simple,com.jayway.jsonpath:json-path,0,False
2145,json-simple,gson,com.googlecode.json-simple:json-simple,com.google.code.gson:gson,79,True
2146,json-simple,jackson,com.github.cliftonlabs:json-simple,org.codehaus.jackson:jackson-xc,0,False
2147,json-simple,jettison,com.github.cliftonlabs:json-simple,org.codehaus.jettison:jettison,0,False
2148,json-simple,jackson,com.googlecode.json-simple:json-simple,com.fasterxml.jackson.core:jackson-annotations,29,True
2149,json-simple,flexjson,com.googlecode.json-simple:json-simple,net.sf.flexjson:flexjson,1,False
2150,json-simple,jackson,com.github.cliftonlabs:json-simple,com.fasterxml.jackson.core:jackson-core,0,False
2151,json-simple,json-smart,com.github.cliftonlabs:json-simple,net.minidev:json-smart,0,False
2152,json-simple,json-path,com.googlecode.json-simple:json-simple,com.jayway.restassured:json-path,1,False
2153,json-simple,jackson,com.github.cliftonlabs:json-simple,com.fasterxml.jackson.core:jackson-annotations,0,False
2154,json-simple,xstream,com.googlecode.json-simple:json-simple,com.thoughtworks.xstream:xstream,5,True
2155,json-simple,json-smart,com.googlecode.json-simple:json-simple,net.minidev:json-smart,8,True
2156,json-simple,flexjson,com.github.cliftonlabs:json-simple,net.sf.flexjson:flexjson,0,False
2157,json-simple,json-path,com.googlecode.json-simple:json-simple,io.paradoxical:json-path,0,False
2158,json-simple,flexjson,com.github.cliftonlabs:json-simple,io.github.benas:xstream,0,False
2159,json-simple,json-lib,com.googlecode.json-simple:json-simple,org.kohsuke.stapler:json-lib,0,False
2160,json-simple,jackson,com.googlecode.json-simple:json-simple,com.fasterxml.jackson.core:jackson-core,31,True
2161,json-simple,flexjson,com.googlecode.json-simple:json-simple,io.github.benas:xstream,0,False
2162,json-simple,jackson,com.googlecode.json-simple:json-simple,org.codehaus.jackson:jackson-core-asl,37,False
2163,json-simple,jackson,com.googlecode.json-simple:json-simple,org.codehaus.jackson:jackson-xc,8,False
2164,json-simple,xstream,com.github.cliftonlabs:json-simple,com.thoughtworks.xstream:xstream,0,False
2165,json-simple,fastjson,com.github.cliftonlabs:json-simple,com.alibaba:fastjson,0,False
2166,json-simple,gson,com.github.cliftonlabs:json-simple,com.google.code.gson:gson,0,False
2167,json-simple,jackson,com.github.cliftonlabs:json-simple,org.codehaus.jackson:jackson-mapper-asl,0,False
