fromLibrary,toLibrary,score,fromGroupArtifacts,toGroupArtifacts
guice,spring,15,,
guice,reflections,2,com.google.inject:guice,com.google.inject:guice;org.sonatype.sisu:sisu-guice;org.reflections:reflections
guice,groovy,2,com.google.inject:guice,com.google.inject:guice;groovy:groovy-all;org.codehaus.groovy:groovy;org.sonatype.sisu:sisu-guice;groovy:groovy;org.codehaus.groovy:groovy-all
h2,postgresql,2,com.h2database:h2,postgresql:postgresql;com.h2database:h2;org.postgresql:postgresql
h2,sqlite-jdbc,1,com.h2database:h2,org.wisdom-framework:sqlite-jdbc;com.h2database:h2;org.xerial:sqlite-jdbc
h2,hsqldb,1,com.h2database:h2,org.hsqldb:hsqldb;com.h2database:h2;hsqldb:hsqldb
hamcrest,fest,25,org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest,org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:java-hamcrest;org.easytesting:fest-assert-core;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest;org.easytesting:fest-assert
hamcrest,mockito,9,org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest,org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:java-hamcrest;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest;org.mockito:mockito-core;org.mockito:mockito-all
hamcrest,powermock,1,org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest,org.powermock:powermock;org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:java-hamcrest;org.powermock:powermock-api-mockito;org.powermock:powermock-core;org.powermock:powermock-module-junit4;org.powermock:powermock-api;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest
hamcrest,jmock,1,org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest,org.jmock:jmock;org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:java-hamcrest;jmock:jmock;org.jmock:jmock-junit4;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest
hamcrest,easymock,1,org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest,org.hamcrest:hamcrest-all;org.hamcrest:hamcrest-core;org.hamcrest:java-hamcrest;org.easymock:easymock;org.hamcrest:hamcrest-library;org.hamcrest:hamcrest;easymock:easymock
hbase,neo4j,1,org.apache.hbase:hbase;org.apache.hbase:hbase-server;org.apache.hbase:hbase-client,org.apache.hbase:hbase;org.apache.hbase:hbase-server;org.apache.hbase:hbase-client;org.neo4j:neo4j
high-scale-lib,joda-time,1,com.boundary:high-scale-lib,joda-time:joda-time;com.boundary:high-scale-lib
